Time,Position
0.794,0.0175451450984
0.795,0.024253085168
0.796,0.0309518966422
0.797,0.0376409190139
0.798,0.0443194934963
0.799,0.0509869630126
0.8,0.0576426722554
0.801,0.0642859677516
0.802,0.0709161979267
0.803,0.0775327131693
0.804,0.0841348658956
0.805,0.090722010613
0.806,0.0972935039657
0.807,0.103848704695
0.808,0.110386973877
0.809,0.11690767494
0.81,0.123410173703
0.811,0.129893838444
0.812,0.13635803996
0.813,0.142802151627
0.814,0.149225549461
0.815,0.155627612181
0.816,0.162007721264
0.817,0.1683652609
0.818,0.174699618176
0.819,0.181010183148
0.82,0.187296348859
0.821,0.193557511404
0.822,0.19979306998
0.823,0.206002426953
0.824,0.212184987909
0.825,0.218340161712
0.826,0.224467360567
0.827,0.230565999993
0.828,0.236635498919
0.829,0.242675279828
0.83,0.248684768751
0.831,0.254663395324
0.832,0.26061059284
0.833,0.266525798305
0.834,0.272408452491
0.835,0.278257999987
0.836,0.284073889256
0.837,0.289855572628
0.838,0.295602506303
0.839,0.3013141506
0.84,0.306989969911
0.841,0.31262943275
0.842,0.3182320118
0.843,0.323797183965
0.844,0.32932443042
0.845,0.334813236656
0.846,0.340263092535
0.847,0.345673492332
0.848,0.351043934788
0.849,0.356373923155
0.85,0.36166296509
0.851,0.366910572656
0.852,0.372116262761
0.853,0.377279556992
0.854,0.382399981655
0.855,0.387477067821
0.856,0.392510351363
0.857,0.397499373005
0.858,0.402443678361
0.859,0.407342817976
0.86,0.412196347372
0.861,0.417003827084
0.862,0.421764822703
0.863,0.42647890477
0.864,0.431145648838
0.865,0.435764635777
0.866,0.440335451654
0.867,0.444857687766
0.868,0.44933094068
0.869,0.453754812265
0.87,0.458128909731
0.871,0.462452845663
0.872,0.466726238054
0.873,0.470948710342
0.874,0.475119891442
0.875,0.479239415777
0.876,0.483306923157
0.877,0.48732205889
0.878,0.491284474007
0.879,0.49519382516
0.88,0.499049774649
0.881,0.502851990454
0.882,0.50660014626
0.883,0.510293921486
0.884,0.513933001315
0.885,0.517517076715
0.886,0.52104584447
0.887,0.524519007203
0.888,0.527936273402
0.889,0.531297357303
0.89,0.53460197903
0.891,0.53784986472
0.892,0.541040746453
0.893,0.544174362281
0.894,0.547250456242
0.895,0.550268778381
0.896,0.553229084774
0.897,0.556131137541
0.898,0.55897470487
0.899,0.561759561031
0.9,0.564485486397
0.901,0.567152267453
0.902,0.569759696698
0.903,0.57230757278
0.904,0.574795700563
0.905,0.577223891076
0.906,0.579591961533
0.907,0.581899735339
0.908,0.584147042105
0.909,0.586333717657
0.91,0.588459604051
0.911,0.590524549578
0.912,0.592528408777
0.913,0.594471042443
0.914,0.59635231763
0.915,0.5981721076
0.916,0.599930291894
0.917,0.601626756357
0.918,0.603261393116
0.919,0.604834100582
0.92,0.60634478346
0.921,0.607793352744
0.922,0.609179725727
0.923,0.610503825998
0.924,0.611765583445
0.925,0.612964934267
0.926,0.614101820982
0.927,0.615176192392
0.928,0.6161880036
0.929,0.617137216007
0.93,0.61802379731
0.931,0.618847721499
0.932,0.619608968857
0.933,0.620307525949
0.934,0.620943385623
0.935,0.621516547
0.936,0.622027015446
0.937,0.622474802595
0.938,0.622859926341
0.939,0.623182410824
0.94,0.623442286417
0.941,0.623639589723
0.942,0.623774363558
0.943,0.623846656945
0.944,0.623856525102
0.945,0.623804029427
0.946,0.623689237507
0.947,0.623512223096
0.948,0.623273066077
0.949,0.622971852468
0.95,0.622608674399
0.951,0.622183630103
0.952,0.621696823898
0.953,0.621148366167
0.954,0.620538373348
0.955,0.619866967906
0.956,0.61913427833
0.957,0.618340439118
0.958,0.617485590739
0.959,0.616569879613
0.96,0.615593458096
0.961,0.614556484459
0.962,0.613459122867
0.963,0.612301543352
0.964,0.611083921795
0.965,0.609806439898
0.966,0.608469285163
0.967,0.607072650898
0.968,0.605616736166
0.969,0.604101745735
0.97,0.602527890075
0.971,0.600895385326
0.972,0.599204453274
0.973,0.597455321318
0.974,0.595648222449
0.975,0.593783395213
0.976,0.591861083682
0.977,0.589881537446
0.978,0.587845011601
0.979,0.585751766652
0.98,0.583602068508
0.981,0.581396188455
0.982,0.57913440312
0.983,0.57681699444
0.984,0.574444249625
0.985,0.572016461127
0.986,0.569533926603
0.987,0.56699694888
0.988,0.564405835983
0.989,0.561760901019
0.99,0.559062462144
0.991,0.556310842543
0.992,0.553506370389
0.993,0.550649378811
0.994,0.547740205848
0.995,0.544779194413
0.996,0.541766692256
0.997,0.538703051917
0.998,0.535588630726
0.999,0.532423790773
1.0,0.529208898776
1.001,0.525944326089
1.002,0.52263044866
1.003,0.519267646983
1.004,0.515856306062
1.005,0.512396815362
1.006,0.508889568766
1.007,0.505334964531
1.008,0.501733405246
1.009,0.498085297894
1.01,0.494391053627
1.011,0.490651087801
1.012,0.486865819919
1.013,0.483035673593
1.014,0.479161076495
1.015,0.475242460306
1.016,0.471280260671
1.017,0.46727491715
1.018,0.463226873168
1.019,0.459136576044
1.02,0.455004476896
1.021,0.450831030507
1.022,0.446616695341
1.023,0.442361933483
1.024,0.438067210598
1.025,0.433732995874
1.026,0.429359761972
1.027,0.424947984976
1.028,0.420498144342
1.029,0.416010722842
1.03,0.411486206514
1.031,0.406925084611
1.032,0.402327849612
1.033,0.397694997194
1.034,0.393027026004
1.035,0.388324437702
1.036,0.383587736905
1.037,0.378817431139
1.038,0.37401403078
1.039,0.369178049005
1.04,0.364310001739
1.041,0.359410407596
1.042,0.35447978783
1.043,0.349518666279
1.044,0.344527569313
1.045,0.339507025747
1.046,0.334457566748
1.047,0.3293797259
1.048,0.324274039094
1.049,0.31914104447
1.05,0.313981282362
1.051,0.308795295239
1.052,0.303583627654
1.053,0.29834682618
1.054,0.293085439363
1.055,0.28780001766
1.056,0.282491113381
1.057,0.277159280639
1.058,0.271805075274
1.059,0.266429054746
1.06,0.261031778178
1.061,0.255613806269
1.062,0.250175701227
1.063,0.24471802671
1.064,0.239241347767
1.065,0.233746230786
1.066,0.228233243428
1.067,0.222702954575
1.068,0.217155934271
1.069,0.21159275366
1.07,0.206013984935
1.071,0.20042020127
1.072,0.194811976763
1.073,0.189189886383
1.074,0.183554505914
1.075,0.177906411889
1.076,0.17224618154
1.077,0.16657439273
1.078,0.160891623903
1.079,0.155198454021
1.08,0.149495462505
1.081,0.143783229179
1.082,0.138062334212
1.083,0.132333358055
1.084,0.126596881389
1.085,0.120853485073
1.086,0.115103750074
1.087,0.10934825741
1.088,0.103587588092
1.089,0.0978223230671
1.09,0.0920530431633
1.091,0.086280329028
1.092,0.080504761072
1.093,0.0747269194112
1.094,0.0689473838092
1.095,0.0631667336194
1.096,0.0573855477278
1.097,0.0516044044958
1.098,0.0458238816997
1.099,0.0400445564761
1.1,0.0342670052668
1.101,0.0284918037601
1.102,0.022719526834
1.103,0.0169507484999
1.104,0.0111860418457
1.105,0.00542597897955
1.106,-0.000328869026026
1.107,-0.0060779321905
1.108,-0.011820641681
1.109,-0.0175564298682
1.11,-0.0232847303813
1.111,-0.0290049781663
1.112,-0.0347166095409
1.113,-0.0404190622445
1.114,-0.0461117754958
1.115,-0.0517941900477
1.116,-0.0574657482407
1.117,-0.0631258940583
1.118,-0.0687740731796
1.119,-0.074409733034
1.12,-0.0800323228541
1.121,-0.0856412937288
1.122,-0.0912360986565
1.123,-0.0968161925978
1.124,-0.102381032531
1.125,-0.107930077507
1.126,-0.113462788692
1.127,-0.118978629421
1.128,-0.124477065253
1.129,-0.12995756402
1.13,-0.135419595878
1.131,-0.140862633359
1.132,-0.14628615142
1.133,-0.151689627492
1.134,-0.157072541533
1.135,-0.162434376074
1.136,-0.16777461627
1.137,-0.173092749954
1.138,-0.178388267687
1.139,-0.183660662792
1.14,-0.188909431408
1.141,-0.19413407254
1.142,-0.199334088105
1.143,-0.204508982979
1.144,-0.209658265041
1.145,-0.214781445225
1.146,-0.21987803756
1.147,-0.224947559216
1.148,-0.229989530553
1.149,-0.235003475162
1.15,-0.239988919923
1.151,-0.244945395039
1.152,-0.24987243407
1.153,-0.254769573985
1.154,-0.259636355202
1.155,-0.264472321635
1.156,-0.26927702073
1.157,-0.274050003513
1.158,-0.278790824626
1.159,-0.283499042372
1.16,-0.288174218751
1.161,-0.292815919503
1.162,-0.297423714148
1.163,-0.301997176042
1.164,-0.306535882394
1.165,-0.311039414303
1.166,-0.315507356802
1.167,-0.319939298895
1.168,-0.324334833595
1.169,-0.328693557961
1.17,-0.333015073132
1.171,-0.337298984365
1.172,-0.341544901068
1.173,-0.345752436837
1.174,-0.349921209487
1.175,-0.354050841093
1.176,-0.358140958041
1.177,-0.362191191026
1.178,-0.366201175096
1.179,-0.370170549684
1.18,-0.374098958644
1.181,-0.377986050281
1.182,-0.381831477376
1.183,-0.385634897227
1.184,-0.389395971666
1.185,-0.393114367098
1.186,-0.396789754525
1.187,-0.400421809574
1.188,-0.404010212534
1.189,-0.407554648398
1.19,-0.411054806849
1.191,-0.414510382307
1.192,-0.41792107395
1.193,-0.421286585743
1.194,-0.424606626463
1.195,-0.427880909721
1.196,-0.431109153989
1.197,-0.434291082619
1.198,-0.437426423867
1.199,-0.440514910916
1.2,-0.443556281899
1.201,-0.446550279929
1.202,-0.449496653127
1.203,-0.452395154608
1.204,-0.455245542519
1.205,-0.458047580053
1.206,-0.460801035477
